Usia,Angsuran,Pendapatan,Tenor,OTR,Uang_Muka,Pekerjaan,Status_Rumah,KKB,cluster
32,720000,4800000,17,13750000,5750000,5,1,1,0
39,980000,2800000,17,30000000,18000000,1,1,0,0
42,670000,3700000,11,18000000,13000000,10,1,0,0
29,660000,4016700,11,9000000,4000000,1,1,1,0
47,460000,4067000,17,9000000,4000000,10,1,1,0
51,530000,4800000,11,8000000,4000000,10,1,1,0
30,460000,1700000,17,7250000,2250000,0,1,1,0
42,3260000,17200000,17,111000000,71000000,10,1,0,2
36,850000,2385000,11,14500000,7500000,1,0,1,0
26,590000,6131666,11,11000000,6500000,1,1,1,0
32,1210000,14400000,11,15500000,5500000,10,1,1,0
45,3030000,19110000,11,42000000,17000000,10,1,0,0
44,1550000,5200000,23,56000000,31000000,0,1,0,0
39,460000,2620000,17,8750000,3750000,10,1,1,0
56,1370000,7750000,11,82000000,70000000,5,1,0,2
21,1210000,3337641,11,17500000,7500000,1,0,1,0
59,590000,4800000,11,8750000,4250000,10,1,1,0
39,760000,5600000,11,14000000,8000000,1,1,1,0
20,760000,4500000,11,10500000,4500000,10,0,1,0
39,990000,7200000,23,28700000,13700000,10,1,0,0
26,1210000,8000000,11,15500000,5500000,10,1,1,0
54,470000,3560000,11,6000000,2500000,8,1,1,0
58,660000,2800000,11,11000000,6000000,5,1,1,0
47,1450000,7650000,17,30000000,15000000,5,1,0,0
52,1550000,17100000,23,51000000,26000000,0,1,0,0
41,550000,2000000,17,9750000,3750000,10,0,1,0
30,460000,1612000,17,10000000,5000000,5,0,1,0
46,660000,2600000,11,10000000,5000000,1,0,1,0
27,440000,5312500,17,9500000,5000000,5,0,1,0
32,600000,3900000,17,13500000,7000000,5,0,1,0
44,550000,4090000,17,13000000,7000000,1,1,1,0
37,2230000,10500000,5,41000000,31000000,10,1,0,0
26,390000,1660414,17,7500000,3500000,1,0,1,0
41,1130000,20800000,35,37000000,15000000,10,1,0,0
42,1210000,4800000,11,28400000,18400000,5,1,1,0
32,850000,6500000,17,18500000,9000000,5,0,1,0
36,660000,7800000,11,7500000,2500000,0,1,1,0
27,550000,2306500,17,9000000,3000000,1,1,1,0
37,630000,7800000,17,12250000,5250000,5,1,1,0
23,550000,2740375,17,10500000,4500000,1,0,1,0
25,390000,2962990,17,7500000,3500000,1,1,1,0
28,390000,6390826,17,7300000,3300000,1,0,1,0
32,760000,2700000,11,10500000,4500000,5,0,1,0
44,1370000,7942350,23,38000000,16000000,10,1,0,0
41,440000,12000000,17,7500000,3000000,10,1,1,0
38,1470000,7800000,5,13750000,7750000,10,1,1,0
26,300000,4498024,17,7300000,4300000,1,0,1,0
34,550000,1650000,17,12500000,6500000,10,1,1,0
49,460000,4231720,17,8750000,3750000,1,1,1,0
29,660000,6680000,11,9500000,4500000,1,1,1,0
35,1250000,7800000,5,7500000,2500000,5,1,1,0
36,1210000,6777000,11,18500000,8500000,9,1,1,0
34,1450000,10400000,17,25000000,10000000,10,1,0,0
20,550000,2422120,17,11000000,5000000,1,0,1,0
34,530000,2741418,11,7250000,3250000,1,0,1,0
25,890000,2418938,17,17500000,7500000,1,0,1,0
24,510000,2800000,17,8000000,2500000,1,0,1,0
45,660000,8400000,11,13000000,8000000,10,1,1,0
48,460000,5200000,17,14500000,9500000,5,1,1,0
24,600000,1797902,17,12250000,5750000,1,0,1,0
46,550000,5000000,17,12000000,6000000,10,1,1,0
41,1320000,20800000,29,39000000,16000000,10,1,0,0
32,410000,5200000,11,9500000,6500000,5,1,1,0
42,660000,4680000,11,9000000,4000000,10,1,1,0
30,970000,3640000,17,20000000,10000000,5,1,0,0
45,480000,2800000,17,9750000,4500000,5,1,1,0
29,970000,4182492,11,12000000,4000000,1,0,1,0
32,470000,2949000,11,7000000,3500000,1,0,1,0
33,1550000,16250000,17,32000000,13000000,10,0,0,0
46,660000,3200000,11,9750000,4750000,10,0,1,0
42,410000,2309000,11,4500000,1500000,1,0,1,0
24,660000,2237700,11,8750000,3750000,1,0,1,0
29,390000,1987000,17,7500000,3500000,1,1,1,0
31,530000,3500000,11,6500000,2500000,10,1,1,0
47,660000,5200000,11,10500000,5500000,10,1,1,0
46,850000,5250000,17,13750000,4250000,10,1,1,0
46,850000,7800000,11,13000000,6000000,5,1,1,0
51,410000,5074142,11,5000000,2000000,1,1,1,0
25,390000,1834500,17,8500000,4500000,1,0,1,0
41,550000,4043704,17,10500000,4500000,1,1,1,0
38,560000,5250000,11,8750000,4500000,10,1,1,0
31,550000,4160000,17,10500000,4500000,10,1,1,0
50,390000,9100000,17,7300000,3300000,5,1,1,0
48,460000,2465202,17,8750000,3750000,1,1,1,0
31,300000,1300000,17,5000000,2000000,0,0,1,0
32,300000,7800000,17,5000000,2000000,5,0,1,0
34,1890000,4983203,35,100000000,60000000,1,1,0,2
29,760000,3335942,11,10500000,4500000,1,0,1,0
29,1150000,6750000,11,14000000,4500000,10,0,1,0
41,410000,6000000,11,7000000,4000000,5,1,1,0
33,890000,6500000,17,17250000,7250000,10,0,1,0
32,460000,3900000,17,12000000,7000000,10,1,1,0
21,550000,3000000,17,10500000,4500000,1,0,1,0
54,2230000,16900000,35,72000000,22000000,10,1,0,2
28,550000,4043976,17,10500000,4500000,1,0,1,0
38,1150000,10400000,11,13750000,4250000,5,1,1,0
25,530000,3173800,11,6000000,2000000,1,0,1,0
25,390000,2600000,17,8000000,4000000,5,0,1,0
49,660000,2340000,11,8750000,3750000,0,1,1,0
33,390000,3000000,17,8750000,4750000,10,0,1,0
24,410000,1102000,11,6000000,3000000,1,0,1,0
52,720000,4200000,17,14000000,6000000,10,1,1,0
37,1270000,10500000,29,41000000,16000000,10,1,0,0
47,480000,7800000,17,9000000,3750000,5,1,1,0
41,550000,3500000,17,10500000,4500000,5,1,1,0
42,890000,16250000,17,14500000,4500000,10,1,1,0
46,460000,5622133,17,7250000,2250000,1,1,1,0
52,460000,3200000,17,7500000,2500000,1,1,1,0
40,380000,6700000,23,11000000,6000000,10,1,1,0
54,660000,7200000,11,8500000,3500000,5,1,1,0
34,800000,4662748,17,14000000,5000000,1,0,1,0
41,660000,4300000,11,9000000,4000000,1,1,1,0
37,380000,4500000,23,8500000,3500000,10,1,1,0
39,530000,2580000,11,10500000,6500000,1,1,1,0
52,1250000,4058445,5,11000000,6000000,1,1,1,0
33,410000,3900000,17,7250000,3000000,5,1,1,0
33,760000,2317595,11,8750000,2750000,1,1,1,0
27,390000,3000000,17,7750000,3750000,1,1,1,0
24,530000,2499400,11,7250000,3250000,1,0,1,0
36,630000,4200000,17,17500000,10500000,5,1,1,0
24,660000,4000000,11,7300000,2300000,1,1,1,0
25,760000,2530000,11,8750000,2750000,1,1,1,0
28,300000,3900000,17,7250000,4250000,5,0,1,0
49,1270000,7840000,23,35000000,15000000,5,1,0,0
52,2040000,10400000,5,14500000,6000000,5,1,1,0
20,460000,2000000,17,8500000,3500000,1,0,1,0
39,660000,2275000,11,8750000,3750000,5,1,1,0
30,520000,4200000,23,10500000,3500000,1,0,1,0
29,460000,1500000,23,9000000,3000000,5,0,1,0
39,600000,3000000,17,9500000,3000000,10,1,1,0
50,1220000,6613900,23,22000000,7000000,0,1,0,0
39,960000,6500000,23,25000000,10000000,10,1,0,0
52,3050000,22000000,35,119000000,49000000,0,1,0,2
30,390000,2550000,17,7500000,3500000,1,0,1,0
43,660000,5980000,11,9000000,4000000,5,0,1,0
56,1250000,9000000,5,8750000,3750000,10,1,1,0
36,720000,4550000,11,9500000,4000000,5,1,1,0
38,1090000,3410450,11,13000000,4000000,1,1,1,0
25,510000,2303000,17,8500000,3000000,1,0,1,0
21,720000,4675628,11,14000000,8500000,1,0,1,0
45,800000,4000000,17,13500000,4500000,1,1,1,0
23,530000,3195183,11,7300000,3300000,1,0,1,0
45,410000,2800000,11,5000000,2000000,0,1,1,0
54,300000,2600000,17,5000000,2000000,0,1,1,0
37,480000,3900000,17,8750000,3500000,5,0,1,0
34,850000,5200000,11,12500000,5500000,1,1,1,0
40,460000,4550000,17,8000000,3000000,5,1,1,0
47,390000,4959720,17,8500000,4500000,1,1,1,0
27,910000,4875000,5,6000000,2500000,10,0,1,0
40,460000,3900000,23,14000000,8000000,10,1,1,0
42,350000,6000000,17,5500000,2000000,1,1,1,0
41,1250000,3800000,5,9000000,4000000,1,1,1,0
32,300000,2730000,17,5000000,2000000,5,0,1,0
22,520000,2600000,23,11000000,4000000,1,1,1,0
30,390000,4500000,17,7250000,3250000,10,1,1,0
25,410000,900000,11,7250000,4250000,10,0,1,0
37,1210000,7500000,11,14500000,4500000,10,0,1,0
32,440000,1500000,17,7250000,2750000,5,0,1,0
51,2220000,13500000,11,74000000,54000000,8,1,0,2
42,380000,6500000,23,7300000,2300000,10,1,1,0
21,760000,4000000,11,9750000,3750000,1,0,1,0
28,380000,2750000,23,7250000,2250000,1,0,1,0
33,970000,5150000,11,13000000,5000000,1,1,1,0
30,660000,3324000,11,12250000,7250000,1,0,1,0
47,590000,2245663,23,14000000,6000000,1,1,1,0
33,2620000,11700000,35,105000000,45000000,10,1,0,2
29,460000,1600000,17,7300000,2300000,1,0,1,0
37,350000,2730000,17,6000000,2500000,10,0,1,0
37,530000,3500000,11,7000000,3000000,1,1,1,0
37,720000,3412950,17,12250000,4250000,1,1,1,0
27,550000,2000000,17,12250000,6250000,0,1,1,0
21,1250000,2727230,5,11000000,6000000,1,0,1,0
44,530000,5200000,11,9000000,5000000,5,1,1,0
21,800000,4200000,17,15500000,6500000,1,0,1,0
47,1090000,5460000,11,25750000,16750000,0,1,1,0
40,630000,9600000,17,10500000,3500000,10,0,1,0
